iter	Passed	Remaining
0	986	1479484
1	1963	1470895
2	2922	1458396
3	3879	1451079
4	4821	1441759
5	5740	1429464
6	6683	1425439
7	7636	1424132
8	8632	1430090
9	9552	1423297
10	10472	1417531
11	11398	1413443
12	12357	1413466
13	13319	1413794
14	14285	1414265
15	15217	1411460
16	16133	1407434
17	17115	1409215
18	18072	1408666
19	19063	1410714
20	19943	1404586
21	20801	1397492
22	21745	1396426
23	22716	1397035
24	23674	1396811
25	24634	1396565
26	25552	1394026
27	26561	1396351
28	27435	1391632
29	28336	1388510
30	29278	1387428
31	30234	1387013
32	31164	1385392
33	32074	1382986
34	33015	1381915
35	33874	1377548
36	34817	1376694
37	35700	1373545
38	36664	1373513
39	37504	1368904
40	38497	1369958
41	39482	1370603
42	40459	1370919
43	41403	1370091
44	42253	1366202
45	43189	1365166
46	44089	1363012
47	44940	1359454
48	45907	1359433
49	46826	1357972
50	47806	1358274
51	48665	1355150
52	49594	1354022
53	50536	1353255
54	51403	1350498
55	52383	1350753
56	53265	1348451
57	54244	1348637
58	55171	1347496
59	56155	1347743
60	57064	1346171
61	58043	1346231
62	58891	1343284
63	59803	1341839
64	60761	1341422
65	61684	1340230
66	62607	1339043
67	63549	1338282
68	64447	1336587
69	65381	1335659
70	66199	1332373
71	67066	1330154
72	67949	1328267
73	68800	1325801
74	69767	1325582
75	70733	1325326
76	71583	1322904
77	72513	1321981
78	73476	1321639
79	74454	1321573
80	75432	1321470
81	76329	1319943
82	77247	1318794
83	78197	1318180
84	79045	1315875
85	79949	1314521
86	80908	1314058
87	81827	1312956
88	82668	1310614
89	83666	1310767
90	84552	1309175
91	85531	1309004
92	86351	1306407
93	87237	1304855
94	88153	1303745
95	89077	1302753
96	89985	1301547
97	90932	1300895
98	91829	1299526
99	92784	1298982
100	93825	1299618
101	94774	1298966
102	95652	1297346
103	96659	1297471
104	97507	1295454
105	98436	1294526
106	99371	1293689
107	100220	1291725
108	101229	1291835
109	102169	1291046
110	103050	1289525
111	103939	1288112
112	104833	1286766
113	105733	1285501
114	106695	1284988
115	107662	1284529
116	108513	1282686
117	109486	1282289
118	110395	1281149
119	111438	1281538
120	112309	1279957
121	113251	1279180
122	114209	1278592
123	115239	1278785
124	116103	1277135
125	116994	1275795
126	117888	1274493
127	118888	1274339
128	119869	1273959
129	120858	1273659
130	121840	1273280
131	122857	1273254
132	123868	1273143
133	124852	1272748
134	125866	1272646
135	126879	1272531
136	127855	1272020
137	128930	1272485
138	129917	1272066
139	130841	1271035
140	131759	1269940
141	132831	1270317
142	133659	1268363
143	134592	1267412
144	135493	1266166
145	136347	1264485
146	137239	1263164
147	138189	1262381
148	139118	1261400
149	140014	1260131
150	140962	1259330
151	141980	1259140
152	142918	1258240
153	143887	1257611
154	144904	1257399
155	145857	1256618
156	146710	1254980
157	147618	1253820
158	148530	1252700
159	149440	1251564
160	150285	1249889
161	151173	1248577
162	152134	1247872
163	153023	1246581
164	154000	1246000
165	154930	1245047
166	155829	1243834
167	156797	1243183
168	157744	1242351
169	158695	1241556
170	159681	1241030
171	160660	1240449
172	161692	1240265
173	162711	1239977
174	163673	1239240
175	164578	1238082
176	165539	1237337
177	166491	1236524
178	167407	1235448
179	168284	1234089
180	169225	1233196
181	170149	1232180
182	171059	1231065
183	172052	1230549
184	172960	1229422
185	173867	1228288
186	174815	1227449
187	175818	1226988
188	176692	1225626
189	177588	1224427
190	178487	1223247
191	179365	1221928
192	180330	1221202
193	181258	1220227
194	182243	1219627
195	183225	1219012
196	184099	1217676
197	185178	1217691
198	186076	1216512
199	187065	1215922
200	188070	1215438
201	189087	1215029
202	190022	1214082
203	191011	1213487
204	192011	1212948
205	192991	1212286
206	194020	1211925
207	195011	1211323
208	195972	1210526
209	196958	1209886
210	197863	1208750
211	198724	1207346
212	199620	1206160
213	200656	1205815
214	201632	1205107
215	202554	1204072
216	203632	1203964
217	204662	1203564
218	205751	1203503
219	206756	1202946
220	207621	1201575
221	208518	1200390
222	209617	1200366
223	210616	1199761
224	211603	1199083
225	212454	1197643
226	213398	1196724
227	214345	1195823
228	215217	1194503
229	216189	1193739
230	217099	1192639
231	217996	1191465
232	218966	1190690
233	219872	1189565
234	220840	1188779
235	221871	1188330
236	222814	1187402
237	223752	1186450
238	224703	1185569
239	225692	1184887
240	226617	1183867
241	227548	1182878
242	228443	1181703
243	229277	1180217
244	230289	1179646
245	231288	1179005
246	232259	1178223
247	233234	1177456
248	234151	1176397
249	235039	1175196
250	236060	1174661
251	237079	1174106
252	238015	1173145
253	238975	1172297
254	239871	1171134
255	240762	1169956
256	241750	1169243
257	242805	1168856
258	243791	1168130
259	244709	1167074
260	245702	1166381
261	246715	1165778
262	247710	1165087
263	248663	1164199
264	249570	1163090
265	250437	1161802
266	251377	1160856
267	252332	1159976
268	253340	1159339
269	254330	1158618
270	255347	1158017
271	256302	1157130
272	257256	1156238
273	258217	1155381
274	259188	1154568
275	260085	1153422
276	261031	1152496
277	262045	1151868
278	262965	1150828
279	263818	1149492
280	264746	1148489
281	265724	1147701
282	266729	1147030
283	267681	1146129
284	268614	1145146
285	269504	1143978
286	270347	1142618
287	271360	1141976
288	272256	1140838
289	273199	1139902
290	274229	1139324
291	275165	1138354
292	276137	1137534
293	277012	1136316
294	277936	1135300
295	278927	1134555
296	279937	1133888
297	280834	1132761
298	281757	1131739
299	282731	1130925
300	283661	1129932
301	284561	1128823
302	285526	1127972
303	286436	1126901
304	287386	1125989
305	288276	1124845
306	289211	1123874
307	290183	1123046
308	291170	1122276
309	292106	1121312
310	293077	1120478
311	294029	1119573
312	294956	1118574
313	295888	1117589
314	296842	1116692
315	297781	1115738
316	298726	1114804
317	299676	1113891
318	300696	1113235
319	301667	1112399
320	302616	1111478
321	303538	1110459
322	304504	1109601
323	305424	1108578
324	306364	1107624
325	307256	1106500
326	308212	1105606
327	309166	1104705
328	310171	1103982
329	311107	1103019
330	312055	1102093
331	313060	1101368
332	313993	1100392
333	314984	1099616
334	315993	1098903
335	316922	1097910
336	317853	1096926
337	318785	1095942
338	319719	1094966
339	320705	1094173
340	321703	1093413
341	322684	1092598
342	323688	1091859
343	324610	1090842
344	325554	1089900
345	326583	1089242
346	327517	1088263
347	328497	1087440
348	329407	1086385
349	330285	1085223
350	331204	1084198
351	332161	1083299
352	333151	1082507
353	334141	1081713
354	335108	1080842
355	336099	1080049
356	337003	1078978
357	338002	1078208
358	338977	1077361
359	339922	1076420
360	340945	1075725
361	341967	1075024
362	343063	1074555
363	344033	1073687
364	344947	1072644
365	345921	1071789
366	346768	1070540
367	347729	1069647
368	348649	1068624
369	349564	1067588
370	350446	1066451
371	351504	1065852
372	352393	1064739
373	353430	1064071
374	354383	1063151
375	355413	1062458
376	356328	1061425
377	357258	1060433
378	358286	1059733
379	359183	1058647
380	360173	1057831
381	361277	1057351
382	362231	1056429
383	363251	1055700
384	364295	1055036
385	365315	1054305
386	366293	1053448
387	367314	1052714
388	368224	1051663
389	369173	1050725
390	370147	1049855
391	371126	1049000
392	372054	1047999
393	373013	1047089
394	374013	1046290
395	374993	1045435
396	375966	1044561
397	376827	1043375
398	377756	1042381
399	378670	1041344
400	379674	1040552
401	380546	1039402
402	381587	1038714
403	382536	1037772
404	383444	1036719
405	384318	1035576
406	385185	1034415
407	386224	1033719
408	387183	1032804
409	388184	1032003
410	389118	1031021
411	390182	1030385
412	391148	1029488
413	392018	1028338
414	392975	1027417
415	393906	1026428
416	394843	1025456
417	395830	1024614
418	396729	1023543
419	397678	1022600
420	398578	1021535
